category_id,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0717,18,0.8888888888888888,0.5555555555555556,0.05555555555555555,0.0,1.0
C0525,68,0.8382352941176471,0.4411764705882353,0.3235294117647059,0.0,1.0
C0601,41,0.9512195121951219,0.4878048780487805,0.024390243902439025,0.0,1.0
C0571,40,0.825,0.125,0.125,0.0,1.0
C0683,16,0.875,0.5,0.0625,0.0,1.0
C0157,65,0.6,0.24615384615384617,0.16923076923076924,1.0,0.0
C0376,12,0.5,0.25,0.3333333333333333,1.0,0.0
C0042,48,0.7916666666666666,0.125,0.14583333333333334,1.0,0.0
C0384,6,0.6666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.0
C0661,21,0.8571428571428571,0.38095238095238093,0.23809523809523808,0.0,1.0
C0685,56,0.8035714285714286,0.25,0.25,0.0,1.0
C0064,35,0.8,0.02857142857142857,0.11428571428571428,1.0,0.0
C0512,104,0.9038461538461539,0.18269230769230768,0.16346153846153846,0.0,1.0
C0508,18,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.0,1.0
C0605,91,0.8791208791208791,0.46153846153846156,0.2087912087912088,0.0,1.0
C0022,24,0.7083333333333334,0.041666666666666664,0.0,1.0,0.0
C0536,18,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.0,1.0
C0699,12,0.8333333333333334,0.25,0.08333333333333333,0.0,1.0
C0284,46,0.30434782608695654,0.08695652173913043,0.21739130434782608,1.0,0.0
C0541,50,0.8,0.2,0.08,0.0,1.0
C0470,20,0.4,0.35,0.2,1.0,0.0
C0704,17,0.7058823529411765,0.17647058823529413,0.23529411764705882,0.0,1.0
C0480,9,0.4444444444444444,0.5555555555555556,0.3333333333333333,1.0,0.0
C0053,31,0.3870967741935484,0.3870967741935484,0.22580645161290322,1.0,0.0
C0645,42,0.7142857142857143,0.16666666666666666,0.2857142857142857,0.0,1.0
C0711,22,0.8636363636363636,0.2727272727272727,0.13636363636363635,0.0,1.0
C0563,12,0.8333333333333334,0.0,0.08333333333333333,0.0,1.0
C0231,11,0.36363636363636365,0.6363636363636364,0.09090909090909091,1.0,0.0
C0453,10,0.7,0.0,0.2,1.0,0.0
C0204,7,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0
C0721,13,0.5384615384615384,0.46153846153846156,0.07692307692307693,0.0,1.0
C0709,7,1.0,0.0,0.0,0.0,1.0
C0361,6,0.3333333333333333,0.5,0.16666666666666666,1.0,0.0
C0731,10,0.6,0.0,0.0,0.0,1.0
C0397,8,0.5,0.125,0.125,1.0,0.0
C0658,2,1.0,0.0,0.0,0.0,1.0
